xdump meta sect >> outputSectMeta.txt
XDUMP meta sect 1631844753
"owner" 1 0 0 8
"xloc" 1 0 0 -1
"yloc" 1 0 0 -1
"des" 1 0 0 21
"effic" 1 0 0 -1
"mobil" 1 0 0 -1
"off" 1 0 0 -1
"terr0" 1 0 0 -1
"terr1" 1 0 0 -1
"terr2" 1 0 0 -1
"terr3" 1 0 0 -1
"xdist" 1 0 0 -1
"ydist" 1 0 0 -1
"avail" 1 0 0 -1
"work" 1 0 0 -1
"coastal" 1 0 0 -1
"newdes" 1 0 0 21
"min" 1 0 0 -1
"gold" 1 0 0 -1
"fert" 1 0 0 -1
"ocontent" 1 0 0 -1
"uran" 1 0 0 -1
"oldown" 1 0 0 8
"civil" 1 0 0 -1
"milit" 1 0 0 -1
"shell" 1 0 0 -1
"gun" 1 0 0 -1
"petrol" 1 0 0 -1
"iron" 1 0 0 -1
"dust" 1 0 0 -1
"bar" 1 0 0 -1
"food" 1 0 0 -1
"oil" 1 0 0 -1
"lcm" 1 0 0 -1
"hcm" 1 0 0 -1
"uw" 1 0 0 -1
"rad" 1 0 0 -1
"c_dist" 1 0 0 -1
"m_dist" 1 0 0 -1
"s_dist" 1 0 0 -1
"g_dist" 1 0 0 -1
"p_dist" 1 0 0 -1
"i_dist" 1 0 0 -1
"d_dist" 1 0 0 -1
"b_dist" 1 0 0 -1
"f_dist" 1 0 0 -1
"o_dist" 1 0 0 -1
"l_dist" 1 0 0 -1
"h_dist" 1 0 0 -1
"u_dist" 1 0 0 -1
"r_dist" 1 0 0 -1
"c_del" 1 0 0 -1
"m_del" 1 0 0 -1
"s_del" 1 0 0 -1
"g_del" 1 0 0 -1
"p_del" 1 0 0 -1
"i_del" 1 0 0 -1
"d_del" 1 0 0 -1
"b_del" 1 0 0 -1
"f_del" 1 0 0 -1
"o_del" 1 0 0 -1
"l_del" 1 0 0 -1
"h_del" 1 0 0 -1
"u_del" 1 0 0 -1
"r_del" 1 0 0 -1
"fallout" 1 0 0 -1
"access" 1 0 0 -1
"road" 1 0 0 -1
"rail" 1 0 0 -1
"dfense" 1 0 0 -1
/70
